Def,Example,Persian,English
"drin, drinnen",1. Wo wollt ihr sitzen? Draußen oder drinnen? 2. Bei der Hitze ist es drinnen viel angenehmer. 3. In der Packung ist nichts mehr drin.,"داخل، سرپوشیده","inside, indoors"
"die Droge, -n",Nimmst du etwa Drogen?,"دارو، -s","the drug, -s"
"die Drogerie, -n",Waschmittel bekommst du in der Drogerie.,"داروخانه، -s","the drugstore, -s"
drüben,Dort drüben ist die Haltestelle.,بیش از,over
"drucken, druckt, druckte, hat gedruckt",1. Warum hast du den Brief noch nicht ausgedruckt? 2. Bei welcher Firma haben Sie diese Prospekte drucken lassen? 3. Du gehst einfach auf „Datei drucken“!,"چاپ کردن، چاپ کردن، چاپ کردن، چاپ کرده است","print, prints, printed, has printed"
"der Drucker, -",Ich brauche einen neuen Drucker für meinen Computer.,"چاپگر، -","the printer, -"
"drücken, drückt, drückte, hat gedrückt","1. Sie brauchen nur auf den Knopf zu drücken. 2. Die neuen Schuhe drücken. 3. Wenn du hier drückst, geht die Tür auf.","فشار دادن، فشار دادن، فشار دادن، فشار داده است","press, presses, pressed, has pressed"
der Druck,1. Mit einem Knopfdruck schaltet man das Gerät ein. 2. Wie hoch muss der Druck in den vorderen Reifen sein?,فشار,the pressure
dumm,"1. Entschuldigung, das war dumm von mir. 2. Mir ist etwas Dummes passiert. 3. Ich fand den Film wirklich sehr dumm.",گنگ,dumb
dunkel,1. Um sechs Uhr ist es schon dunkel. 2. Meine Schwester hat dunkle Haare. 3. Ich habe mir eine dunkelblaue Bluse gekauft.,تیره,dark
dünn,1. Mein Sohn ist sehr dünn. Er isst zu wenig. 2. Warum ziehst du nur so einen dünnen Mantel an? Es ist kalt draußen.,نازک,thin
durch,"1. Wir sind mit dem Fahrrad durch den Wald gefahren. 2. Wenn Sie zum Bahnhof gehen, kommen Sie durch die Goethestraße. 3. Wir haben den ganzen Mai durch geheizt. 4. Wir haben unsere Wohnung durch einen Freund bekommen.",از طریق,through
durcheinander,1. Alle meine Sachen sind durcheinander. Ich finde nichts mehr. 2. Bitte redet nicht alle durcheinander. Sonst verstehe ich nichts.,مخلوط شده,mixed up
"die Durchsage, -n","1. Achtung, Achtung, eine wichtige Durchsage! 2. Ich habe die Durchsage nicht verstanden.","اعلام، -s","the announcement, -s"
"der Durchschnitt, -e",1. Der Durchschnitt der Ausgaben liegt bei 150 Euro im Monat. 2. Im Durchschnitt brauchen wir täglich 20 Minuten zur Arbeit. 3. Die Studentin gehört zum Durchschnitt.,"میانگین، -s","the average, -s"
durchschnittlich,Die Preise sind im letzten Jahr um durchschnittlich 6 % gestiegen.,میانگین,average
"dürfen, darf, durfte, hat gedurft (hat dürfen als Modalverb)",1. Dürfen wir heute länger fernsehen? 2. Sie dürfen hier nicht parken. 3. Das hätten Sie nicht machen dürfen! 4. Was darf ich Ihnen anbieten? 5. Ich suche ein gebrauchtes Auto. Es darf nicht mehr als 1000 Euro kosten.,"دورفن، دارف، دارف، هت، کلاه گدورفت (هت دورفن به عنوان یک فعل معین)","dürfen, darf, darf, hatte, hat gedurft (hat dürfen as a modal verb)"
der Durst,Ich hole Ihnen etwas zu trinken. Sie haben sicher Durst.,تشنگی,the thirst
durstig,Du bist sicher durstig. Was möchtest du trinken?,تشنه,thirsty
"(sich) duschen, duscht, duschte, hat geduscht","1. Wenn Sie sich duschen wollen: Das Badezimmer ist dort hinten links. 2. Ich bade nicht so gern, ich dusche lieber.","دوش گرفتن، دوش گرفتن، دوش گرفتن، دوش گرفته است","(to) shower, showers, showered, has showered"
"die Dusche, -n",1. Wir haben leider nur noch ein Zimmer mit Dusche. 2. Unsere Wohnung hat nur eine Dusche.,"دوش، -s","the shower, -s"
"duzen, duzt, duzte, hat geduzt","Wollen wir Du zueinander sagen? Ja, wir können uns gern duzen?","آدرس غیررسمی، آدرس غیررسمی، آدرس غیررسمی (duzen)، آدرس غیررسمی (duzt ...","informal address, informal address, informal address (duzen), informal address (duzt ..."
eben,1. Ich bin eben erst angekommen. 2. Ich gebe auf. Ich habe eben kein Glück!,حتی,even
ebenfalls,"Ich wünsche Ihnen ein schönes Wochenende. – Danke, ebenfalls.",همچنین,also
ebenso,"Schöne Feiertage. – Danke, ebenso.",و همچنین,as well
die e-card (A) → D: die Versichertenkarte,Haben Sie Ihre e-card dabei?,کارت الکترونیکی (A) → D: کارت بیمه,the e-card (A) → D: the insurance card
echt,1. Ich träume von einem echten Perserteppich. 2. Der Film war echt gut.,واقعی,real
die ec-Karte/EC-Karte → A: Bankomat-Karte,Bezahlen Sie bar? Sie können auch mit der ec-Karte zahlen.,کارت EC/کارت EC → A: کارت خودپرداز,the EC card/EC card → A: ATM card
"die Ecke, -n (D, CH) → A: Eck",1. Das Regal stellen wir hier in die Ecke. 2. Das bekommen Sie im Kiosk an der Ecke. 3. Wo ist die Apotheke? − Gleich um die Ecke.,"گوشه، -s (D, CH) → A: گوشه","the corner, -s (D, CH) → A: corner"
"das Eck, -en (A) → D, CH: Ecke",1. Das Regal stellen wir hier ins Eck. 2. Das bekommen Sie im Kiosk am Eck. 3. Wo ist die Apotheke? − Gleich ums Eck.,"گوشه، -s (A) → D، CH: گوشه","the corner, -s (A) → D, CH: corner"
eckig,"Ich möchte einen eckigen Tisch, keinen runden.",مربع,square
egal,"1. Es ist mir ganz egal, was die Leute denken. 2. Egal, wie das Wetter ist, ich gehe schwimmen.",مهم نیست,doesn't matter
"die Ehe, -n",Sie hat zwei Kinder aus erster Ehe.,ازدواج,marriage
"die Ehefrau, -en/der Ehemann, ¨-er",Wie heißt Ihre Ehefrau mit Vornamen?,"زن، -s/شوهر، -s","the wife, -s/the husband, -s"
"das Ehepaar, -e",Das Ehepaar unter uns hat zwei Kinder.,"زوج متأهل، -s","the married couple, -s"
eher,"1. Ich stehe meist eher auf als mein Mann. 2. Michael sieht gerne Serien, ich mag eher Krimis.",بلکه,rather
ehrlich,1. Sie ist ein ehrlicher Mensch. 2. Bitte sei in dieser Sache ehrlich. 3. Die Pause haben wir uns ehrlich verdient.,صادق,honest
"das Ei, -er",Möchtest du zum Frühstück ein Ei?,"تخم مرغ، -s","the egg, -s"
eigen-,1. Fast jedes Kind hat ein eigenes Zimmer. 2. Manche Leute haben keine eigene Meinung.,مالِ خود,own
eigentlich,"1. Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben. 2. Die Sängerin nennt sich Arabella. Aber eigentlich heißt sie Uschi Müller. 3. Was willst du eigentlich von mir?",در واقع,actually
"sich eignen, eignet sich, eignete sich, hat sich geeignet",Dieses Hotel eignet sich besonders für Familien mit Kindern.,"مناسب بودن، مناسب است، مناسب بود، مناسب بودنش ثابت شده است","to be suitable, is suitable, was suitable, has proven suitable"
"eilen, eilt, eilte, hat/ist geeilt",Es eilt sehr. Bitte machen Sie schnell.,"عجله، شتابان، عجول، عجله دارد/دارد","hurry, hurries, hurried, has/is hurried"
die Eile,1. Ich bin sehr in Eile 2. Das hat keine Eile.,عجله,the hurry
eilig,Hast du es eilig?,عجله,hurry
ein-,1. Ich nehme ein Bier. Willst du auch eins? 2. Wir haben zu wenig Mitspieler. Wir brauchen noch einen.,الف-,a-
"die Einbahnstraße, -n",Die Goethestraße ist jetzt eine Einbahnstraße.,"خیابان یک طرفه، -s","the one-way street, -s"
"einbrechen, bricht ein, brach ein, ist eingebrochen",Jemand ist in unsere Wohnung eingebrochen.,"رخنه کردن، رخنه کردن، رخنه کردن، رخنه کرده است","break in, breaks in, broke in, has broken in"
"der Einbrecher, - die Einbrecherin, -nen",Die Einbrecher haben nichts gestohlen.,"سارق، - سارق زن، -s","the burglar, - the female burglar, -s"
"der Einbruch, ¨-e",In der Urlaubszeit gibt es viele Wohnungseinbrüche.,"ورود غیرقانونی، -e","the break-in, -e"
eindeutig,1. Das Ergebnis ist eindeutig. Du hast gewonnen. 2. Du kannst eindeutig besser kochen als ich.,به وضوح,clearly
"der Eindruck, ¨-e","1. Ich finde die Leute auf der Straße ziemlich unfreundlich. Wie ist dein Eindruck? 2. Ich glaube, ich habe bei dem Vorstellungsgespräch einen guten Eindruck gemacht.","برداشت، ¨-e","the impression, ¨-e"
einerseits,"Einerseits möchte ich die Reise gern machen, andererseits ist sie zu teuer.",از یک طرف,on the one hand
einfach,"1. Hin und zurück? – Nein, bitte nur einfach. 2. Ich verstehe das nicht. Kannst du das bitte einfacher sagen? 3. Wir haben am Wochenende einen Ausflug gemacht. Es war einfach toll.",به سادگی,simply
"die Einfahrt, -en",1. Da parkt wieder jemand vor unserer Einfahrt. 2. Können Sie nicht lesen: Einfahrt freihalten!,"ورودی، -s","the entrance, -s"
"einfallen, fällt ein, fiel ein, ist eingefallen","Mir ist wieder eingefallen, wie das Buch heißt.","رخ دادن، رخ دادن، رخ داده است، رخ داده است","to occur to, occurs to, occurred to, has occurred to"
"der Einfall, ¨-e",Frag einfach meine Freundin. Sie hat immer gute Einfälle.,"ایده، ¨-e","the idea, ¨-e"
"der Einfluss, ¨-e",Das Wetter hat Einfluss auf die Gesundheit der Menschen.,"تأثیر، ¨-e","the influence, ¨-e"
"beeinflussen, beeinflusst, beeinflusste, hat beeinflusst",Dieses Ereignis hat die Wahlen beeinflusst.,"نفوذ کردن، تحت تأثیر قرار دادن، تحت تأثیر قرار دادن، تحت تأثیر قرار داده است","influence, influenced, influenced, has influenced"
"einfügen, fügt ein, fügte ein, hat eingefügt","Markieren Sie zuerst die Zeilen, dann „kopieren“ drücken und dann einfügen.","درج کردن، درج کردن، اضافه کردن، درج کردن","insert, inserts, added, has inserted"
"einführen, führt ein, führte ein, hat eingeführt",1. Dürfen wir diese Ware ins Land einführen? 2. Wir haben letztes Jahr ein neues System eingeführt.,"معرفی کردن، معرفی می‌کند، معرفی کرده است","introduce, introduces, introduced, has introduced"
"die Einführung, -en",Leider habe ich die Einführung des Kurses verpasst.,"مقدمه، -s","the introduction, -s"
"der Eingang, ¨-e",1. Das Gebäude hat zwei Eingänge. 2. Der Eingang ist um die Ecke.,"ورودی، ¨-e","the entrance, ¨-e"
einheitlich,Die Schüler dieser Schule tragen einheitliche Kleidung.,یکنواخت,uniform
einig-,"1. In diesem Bericht sind einige Fehler. 2. Das wird noch einige Zeit dauern. 3. Einige Leute sind für das Gesetz, aber viele sind auch dagegen.",برخی-,some-
"sich einigen, einigt sich, einigte sich, hat sich geeinigt",Jeder hat einen anderen Vorschlag. Wir können uns leider nicht einigen.,"به توافق رسیدن، به توافق رسیدن، به توافق رسیده‌اند","to come to an agreement, to reach an agreement, to have reached an agreement"
"einkaufen, kauft ein, kaufte ein, hat eingekauft",Wir gehen einmal pro Woche einkaufen.,"خرید کردن، خرید کردن، خریده است، خرید کرده است","to shop, buys, bought, has shopped"
"der Einkauf, ¨-e",1. Achten Sie beim Einkauf auf Sonderangebote. 2. Ich habe alle Einkäufe erledigt. Jetzt können wir einen Kaffee trinken.,"خرید، ¨-e","the purchase, ¨-e"
"das Einkommen, -",Bei einem höheren Einkommen muss man mehr Steuern zahlen.,"درآمد، -","the income, -"
"einladen, lädt ein, lud ein, hat eingeladen",Darf ich Sie zum Essen einladen?,"دعوت کردن، دعوت کردن، دعوت کردن، دعوت کرده است","invite, invites, invited, has invited"
"die Einladung, -en",Danke für die Einladung.,دعوتنامه (ها),the invitation(s)
einmal,1. Ich habe diese Oper leider nur einmal gesehen. 2. Bitte rufen Sie morgen noch einmal an. 3. Auf einmal ging das Licht aus. 4. Ich kann nicht alles auf einmal machen. 5. Sehen wir uns (ein)mal wieder? 6. Vor Jahren habe ich (ein)mal in Wien gewohnt. 7. Komm doch bitte (ein)mal her und hilf mir.,یک بار,once
"einnehmen, nimmt ein, nahm ein, hat eingenommen",Wie muss ich die Tropfen einnehmen?,"گرفتن، گرفتن، گرفتن، گرفته است","take, takes, took, has taken"
"die Einnahme, -n",Unser Geschäft läuft gut. Unsere Einnahmen waren in diesem Monat höher als im letzten.,"میزان مصرف، -s","the intake, -s"
"einpacken, packt ein, packte ein, hat eingepackt",1. Hast du Handtücher eingepackt? 2. Soll ich Ihnen das als Geschenk einpacken?,"بسته‌بندی کردن، بسته‌بندی کردن، بسته‌بندی کردن، بسته‌بندی کرده است","to pack, packs, packed, has packed"
"einrichten, richtet ein, richtete ein, hat eingerichtet","1. Ich habe meine Wohnung selbst eingerichtet. 2. Wenn Sie Fragen haben, rufen Sie uns an. Wir haben eine extra Telefon-nummer eingerichtet.","برپا کرد، برپا کرد، تنظیم کرد، برقرار کرده است","set up, sets up, set up, has set up"
"die Einrichtung, -en","Deine Wohnung ist sehr gemütlich, die Einrichtung gefällt mir sehr gut.","موسسه، -s","the establishment, -s"
einsam,Ohne meine Familie fühle ich mich ein bisschen einsam.,تنها,lonely
"einschalten, schaltet ein, schaltete ein, hat eingeschaltet",Können Sie bitte die Heizung einschalten?,"روشن کردن، روشن کردن، روشن کردن، روشن شده است","turn on, turns on, turned on, has turned on"
einschließlich,Alles zusammen kostet 200 Euro einschließlich Fahrtkosten.,از جمله,including
"das Einschreiben, -",Ich habe den Brief als Einschreiben geschickt.,"نامه ثبت شده، -","the registered letter, -"
"einsetzen, setzt ein, setzte ein, hat eingesetzt","1. Ich glaube, wir müssen jemanden einsetzen, der sich um die Organisation kümmert. 2. Peter hat sich dafür eingesetzt, dass ich den Job bekomme.","استفاده کردن، استفاده کردن، استفاده کردن، استفاده کرده است","to use, uses, used, has used"
"einsteigen, steigt ein, stieg ein, ist eingestiegen",1. Ab 20 Uhr vorne beim Fahrer einsteigen. 2. Steig ein. Wir wollen losfahren.,"سوار شدن، سوار شدن، سوار شدن، سوار شده است","get on board, get on board, got on board, has gotten on board"
"einstellen, stellt ein, stellte ein, hat eingestellt",1. Die Firma wird in diesem Jahr drei neue Leute einstellen. 2. Das Gerät ist nicht richtig eingestellt.,"استخدام کردن، استخدام کردن، استخدام کردن، استخدام کرده است","hire, hires, hired, has hired"
"eintragen, trägt ein, trug ein, hat eingetragen",Tragen Sie sich bitte in die Liste ein.,"وارد شدن، وارد شدن، وارد شده، وارد شده است","to enter, enters, entered, has entered"
"eintreten, tritt ein, trat ein, ist eingetreten",Letztes Jahr bin ich in einen Sportverein eingetreten.,"رخ دادن، رخ دادن، رخ دادن، رخ داده است","to occur, occurs, occurred, has occurred"
der Eintritt,1. Kinder über 10 Jahre zahlen den vollen Eintritt. 2. Der Eintritt ist frei.,ورودی,the entry
einverstanden,"1. Als Termin schlage ich den 3. Mai vor. – Gut, einverstanden! 2. Bist du einverstanden, wenn wir bald nach Hause gehen?",توافق شده,agreed
"der Einwohner, - die Einwohnerin, -nen",Berlin hat über drei Millionen Einwohner.,"ساکن، - ساکن (مونث)، -s","the inhabitant, - the inhabitant (female), -s"
"einzahlen, zahlt ein, zahlte ein, hat eingezahlt",Ich habe gestern Geld auf mein Bankkonto eingezahlt.,"واریز کردن، سپرده گذاری کردن، سپرده گذاری کردن، سپرده گذاری کرده است","to deposit, deposits, deposited, has deposited"
"die Einzahlung, -en",Sie sollten die Einzahlung pünktlich machen.,سپرده(ها),the deposit(s)
einzeln,"1. Dieses Mineralwasser gibt es nur als Sechserpack, nicht einzeln. 2. Die Schüler mussten einzeln zum Schularzt kommen.",به صورت جداگانه,individually
Einzel-,"z. B. Einzelkind, Einzelzimmer",مجرد,Single
"die Einzelheit, -en",Du musst mir das in allen Einzelheiten erzählen.,"جزئیات، -s","the detail, -s"
einzig-,"1. Wir waren die einzigen Gäste. 2. Das war das einzige Mal, dass ich ihn gesehen habe.",فقط-,only-
"einziehen, zieht ein, zog ein, ist eingezogen",Die Wohnung ist fertig. Wir können nächste Woche einziehen.,"نقل مکان کردن، نقل مکان کردن، نقل مکان کردن، نقل مکان کرده است","move in, moves in, moved in, has moved in"
das Eis,1. Im Winter gibt es Eis und Schnee. 2. Bitte eine Cola ohne Eis.,یخ,the ice
